
Image Name                     PID Session Name        Session#    Mem Usage
cmd.exe                      33912 Console                    2      5 304 K
node.exe                     15776 Console                    2    140 556 K
powershell.exe               33272 Console                    2     76 588 K
node.exe                     33464 Console                    2     68 940 K
cmd.exe                      23444 Console                    2      5 164 K
node.exe                     33044 Console                    2     50 820 K
cmd.exe                      21404 Console                    2      5 176 K
node.exe                     19752 Console                    2     69 592 K
cmd.exe                      31396 Console                    2      5 176 K
node.exe                     31568 Console                    2    144 148 K
powershell.exe               22804 Console                    2     68 568 K
node.exe                     24304 Console                    2     68 892 K
cmd.exe                      21680 Console                    2      5 160 K
node.exe                      5308 Console                    2     51 536 K
cmd.exe                       6612 Console                    2      5 144 K
node.exe                     31280 Console                    2     70 044 K
cmd.exe                      21748 Console                    2      5 160 K
node.exe                      5624 Console                    2    151 652 K
node.exe                     28344 Console                    2    146 792 K
powershell.exe               35168 Console                    2     68 712 K
node.exe                     33572 Console                    2    156 128 K
chrome-headless-shell.exe    19404 Console                    2     88 628 K
chrome-headless-shell.exe    31108 Console                    2    102 176 K
node.exe                     29628 Console                    2    153 524 K
node.exe                     16584 Console                    2    139 216 K
chrome-headless-shell.exe    14996 Console                    2     77 624 K
node.exe                     30552 Console                    2    136 408 K
node.exe                     24992 Console                    2    161 364 K
node.exe                     32716 Console                    2    193 152 K
node.exe                     31932 Console                    2    146 572 K
chrome-headless-shell.exe    24644 Console                    2    124 568 K
chrome-headless-shell.exe    20600 Console                    2     88 104 K
chrome-headless-shell.exe    30948 Console                    2     87 752 K
chrome-headless-shell.exe    34332 Console                    2     96 280 K
chrome-headless-shell.exe    22144 Console                    2     74 612 K
chrome-headless-shell.exe    13836 Console                    2     88 280 K
chrome-headless-shell.exe    35880 Console                    2     87 856 K
chrome-headless-shell.exe    36024 Console                    2     96 228 K
chrome-headless-shell.exe    36040 Console                    2     74 812 K
chrome-headless-shell.exe    36056 Console                    2     96 312 K
chrome-headless-shell.exe    36072 Console                    2     74 584 K
chrome-headless-shell.exe    36184 Console                    2     76 932 K
chrome-headless-shell.exe    36608 Console                    2     76 972 K
chrome-headless-shell.exe    36624 Console                    2     79 756 K
chrome-headless-shell.exe    36824 Console                    2     96 308 K
chrome-headless-shell.exe    36884 Console                    2     88 916 K
chrome-headless-shell.exe    36968 Console                    2     74 784 K
chrome-headless-shell.exe    37264 Console                    2    104 968 K
chrome-headless-shell.exe    37308 Console                    2     81 632 K
chrome-headless-shell.exe    37500 Console                    2     77 820 K
chrome-headless-shell.exe    37628 Console                    2    151 196 K
chrome-headless-shell.exe    37696 Console                    2     89 324 K
chrome-headless-shell.exe    37864 Console                    2     97 192 K
chrome-headless-shell.exe    37876 Console                    2     75 560 K
chrome-headless-shell.exe    30132 Console                    2     77 848 K
powershell.exe               38128 Console                    2     57 424 K
node.exe                     38152 Console                    2    161 700 K
cmd.exe                      38272 Console                    2      4 764 K
tasklist.exe                 38288 Console                    2      9 648 K
